generation,individual,val_loss,n_params,n_layers,architecture
4,0,0.484132,597381,8,[512/k3→64/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
4,1,0.498500,184101,8,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1]
4,2,0.514956,3756229,6,[128/k3→32/k3→512/k1→256/k1→512/k3→512/k3]
4,3,0.515373,3904709,6,[128/k3→32/k3→1024/k1→256/k1→512/k3→512/k3]
4,4,0.537506,220133,9,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1→512/k1]
4,5,0.526363,1984069,6,[128/k3→32/k3→512/k1→256/k1→512/k3→128/k3]
4,6,0.530664,1227909,9,[512/k3→64/k3→512/k3→32/k1→256/k3→512/k1→64/k3→32/k1→256/k1]
4,7,0.531328,907653,9,[512/k3→64/k3→512/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
5,0,0.513604,597381,8,[512/k3→64/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
5,1,0.505743,184101,8,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1]
5,2,0.513246,3756229,6,[128/k3→32/k3→512/k1→256/k1→512/k3→512/k3]
5,3,0.526402,3904709,6,[128/k3→32/k3→1024/k1→256/k1→512/k3→512/k3]
5,4,0.529104,1984069,6,[128/k3→32/k3→512/k1→256/k1→512/k3→128/k3]
5,5,0.549203,1227909,9,[512/k3→64/k3→512/k3→32/k1→256/k3→512/k1→64/k3→32/k1→256/k1]
5,6,0.533526,907653,9,[512/k3→64/k3→512/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
5,7,0.545441,220133,9,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1→512/k1]
6,0,0.512232,184101,8,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1]
6,1,0.520157,3756229,6,[128/k3→32/k3→512/k1→256/k1→512/k3→512/k3]
6,2,0.517547,597381,8,[512/k3→64/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
6,3,0.524272,3904709,6,[128/k3→32/k3→1024/k1→256/k1→512/k3→512/k3]
6,4,0.535581,1984069,6,[128/k3→32/k3→512/k1→256/k1→512/k3→128/k3]
6,5,0.536349,907653,9,[512/k3→64/k3→512/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
6,6,0.549202,220133,9,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1→512/k1]
6,7,0.539591,1227909,9,[512/k3→64/k3→512/k3→32/k1→256/k3→512/k1→64/k3→32/k1→256/k1]
7,0,0.528699,184101,8,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1]
7,1,0.541403,597381,8,[512/k3→64/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
7,2,0.525365,3756229,6,[128/k3→32/k3→512/k1→256/k1→512/k3→512/k3]
7,3,0.524327,3904709,6,[128/k3→32/k3→1024/k1→256/k1→512/k3→512/k3]
7,4,0.542932,1984069,6,[128/k3→32/k3→512/k1→256/k1→512/k3→128/k3]
7,5,0.551648,907653,9,[512/k3→64/k3→512/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
7,6,0.545640,1227909,9,[512/k3→64/k3→512/k3→32/k1→256/k3→512/k1→64/k3→32/k1→256/k1]
7,7,0.553432,220133,9,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1→512/k1]
8,0,0.524675,3904709,6,[128/k3→32/k3→1024/k1→256/k1→512/k3→512/k3]
8,1,0.526447,3756229,6,[128/k3→32/k3→512/k1→256/k1→512/k3→512/k3]
8,2,0.535351,184101,8,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1]
8,3,0.530064,597381,8,[512/k3→64/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
8,4,0.537022,1984069,6,[128/k3→32/k3→512/k1→256/k1→512/k3→128/k3]
8,5,0.539809,1227909,9,[512/k3→64/k3→512/k3→32/k1→256/k3→512/k1→64/k3→32/k1→256/k1]
8,6,0.551841,907653,9,[512/k3→64/k3→512/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
8,7,0.548008,220133,9,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1→512/k1]
9,0,0.527708,3904709,6,[128/k3→32/k3→1024/k1→256/k1→512/k3→512/k3]
9,1,0.526807,3756229,6,[128/k3→32/k3→512/k1→256/k1→512/k3→512/k3]
9,2,0.537983,597381,8,[512/k3→64/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
9,3,0.540929,184101,8,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1]
9,4,0.538784,1984069,6,[128/k3→32/k3→512/k1→256/k1→512/k3→128/k3]
9,5,0.540363,1227909,9,[512/k3→64/k3→512/k3→32/k1→256/k3→512/k1→64/k3→32/k1→256/k1]
9,6,0.559562,220133,9,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1→512/k1]
9,7,0.552104,907653,9,[512/k3→64/k3→512/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
10,0,0.522300,3756229,6,[128/k3→32/k3→512/k1→256/k1→512/k3→512/k3]
10,1,0.522871,3904709,6,[128/k3→32/k3→1024/k1→256/k1→512/k3→512/k3]
10,2,0.542578,597381,8,[512/k3→64/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
10,3,0.539285,1984069,6,[128/k3→32/k3→512/k1→256/k1→512/k3→128/k3]
10,4,0.546649,1227909,9,[512/k3→64/k3→512/k3→32/k1→256/k3→512/k1→64/k3→32/k1→256/k1]
10,5,0.551409,184101,8,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1]
10,6,0.555256,907653,9,[512/k3→64/k3→512/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
10,7,0.556097,220133,9,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1→512/k1]
11,0,0.520314,3756229,6,[128/k3→32/k3→512/k1→256/k1→512/k3→512/k3]
11,1,0.522052,3904709,6,[128/k3→32/k3→1024/k1→256/k1→512/k3→512/k3]
11,2,0.535551,1984069,6,[128/k3→32/k3→512/k1→256/k1→512/k3→128/k3]
11,3,0.543417,597381,8,[512/k3→64/k3→32/k1→256/k3→128/k1→64/k3→32/k1→256/k1]
11,4,0.540442,1227909,9,[512/k3→64/k3→512/k3→32/k1→256/k3→512/k1→64/k3→32/k1→256/k1]
11,5,0.552382,184101,8,[32/k1→128/k1→64/k1→32/k1→512/k3→32/k1→32/k1→64/k1]
